휴양림명,시도명,휴양림구분,휴양림면적,수용인원수,입장료,숙박가능여부,주요시설명,소재지도로명주소,관리기관명,휴양림전화번호,홈페이지주소,위도,경도,데이터기준일자,제공기관코드,제공기관명
변산자연휴양림,전북특별자치도,국유림,311000,250,숙박비 52000원+154000원,Y,숲속의집+휴양관+체험교실+물놀이장(현재 미운영),전북특별자치도 부안군 변산면 변산로 3768,국립자연휴양림관리소,063-581-9977,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=0189,35.58287781,126.523728,2024-01-22,4791000,전북특별자치도 부안군
데미샘자연휴양림,전북특별자치도,공유림,200000,131,무료,Y,휴양관+숲속의집+숲문화마당+명상의숲 등,전북특별자치도 진안군 백운면 데미샘 1길 172,전북특별자치도 산림환경연구소,063-290-6992,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030074,35.656988,127.461036,2024-01-24,6540000,전북특별자치도
간월자연휴양림,울산광역시,사유림,597890,200,주중10~20만원+주말15~30만원,Y,관리실+수영장+연수원,울산광역시 울주군 상북면 등억알프스로 607-15,천광디엔씨,052-263-6644,https://www.forest.go.kr/kfsweb/kfi/kfs/foreston/main/contents/CmpngInfo/selectCmpngInfoList.do?mn=NKFS_03_01_01_02_04&restTpcd=01&restMngmeMnbdCd=003,35.5670959,129.0560416,2024-01-02,3730000,울산광역시 울주군
남해편백자연휴양림,경상남도,국유림,2270000,1000,성인 1000원,Y,생태숲+숲속의집 등,경상남도 남해군 삼동면 금암로 658,함양국유림관리소,055-867-7881,www.foresttrip.go.kr/indvz/main.do?hmpgId=0192,34.75216391,128.0201316,2023-05-02,5430000,경상남도 남해군
월아산자연휴양림(진주),경상남도,공유림,960027,175,무료,Y,숲속의집+휴양관,경상남도 진주시 진성면 달음산로 313,경상남도 진주시청,055-746-3673,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030114,35.199915,128.1941257,2023-07-06,6480000,경상남도
사천케이블카자연휴양림(사천),경상남도,공유림,394894,250,개인 어른1000원+개인 청소년군인 700원+개인 어린이 400원+단체 어른800원+단체 청소년군인 500원+단체 어린이 200원,Y,숲속의집+휴양관,경상남도 사천시 실안길 242-45,경상남도 사천시청,055-835-9526,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030112,34.95015858,128.0583444,2023-07-06,6480000,경상남도
도래재자연휴양림(밀양),경상남도,공유림,524988,200,무료,Y,숲속의집+휴양관,경상남도 밀양시 단장면 도래재로 462,경상남도 밀양시청,055-355-0200,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030115,35.55632931,128.9390583,2023-07-06,6480000,경상남도
거제자연휴양림(거제),경상남도,공유림,329490,505,개인 어른1000원+개인 청소년군인 700원+개인 어린이 500원+단체 어른700원+단체 청소년군인 500원+단체 어린이 300원,Y,숲속의집+휴양관,경상남도 거제시 동부면 거제중앙로 325,경상남도 거제시 거제해양관광개?u공사,055-639-8115,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030059,34.78569918,128.6259431,2023-07-06,6480000,경상남도
대운산자연휴양림(양산),경상남도,공유림,2143930,87,무료,Y,숲속의집+휴양관,경상남도 양산시 탑골길 270,경상남도 양산시 양산시설관리공단,055-379-8670,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030038,35.41785462,129.2088998,2023-07-06,6480000,경상남도
자굴산자연휴양림(의령),경상남도,공유림,2282300,209,무료,Y,숲속의집+휴양관,경상남도 의령군 가례면 자굴산휴양로?23,경상남도 의령군청,055-570-0030,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030113,35.37763031,128.2089972,2023-07-06,6480000,경상남도
생거진천자연휴양림,충청북도,공유림,2210181,170,무료,Y,숲속의집+산림문화유양관+연립동+식당+세미나실+숲속야영장,충청북도 진천군 백곡면 명암길 435-135,충청북도 진천군청,043-539-3551,,36.92399609,127.3902346,2023-08-01,6430000,충청북도
성불산자연휴양림,충청북도,공유림,581037,302,무료,Y,숲속의집+산림문화휴양관+한옥체험관+숲속캠핑장+세미나실+동화의숲+미선향테마파크+생태공원+생태숲학습관,충청북도 괴산군 괴산읍 충민로기곡길 78,충청북도 괴산군청,043-830-2679,,36.80804701,127.8467688,2023-08-01,6430000,충청북도
수레의산자연휴양림,충청북도,공유림,890000,144,무료,Y,숲속의집+야영데크+오토캠핑장,충청북도 음성군 생극면 차생로 310-108,충청북도 음성군청,043-878-2013,,37.03888915,127.6513855,2023-08-01,6430000,충청북도
백야자연휴양림,충청북도,공유림,370000,310,무료,Y,숲속의집+휴양관+복합산막+오토캠핑장,충청북도 음성군 금왕읍 백야로 461-97,충청북도 음성군청,043-878-2556,,36.95683852,127.6096498,2023-08-01,6430000,충청북도
소선암자연휴양림,충청북도,공유림,633137,312,무료,Y,숲속의집+산림복합휴양관+산림문화휴양관+백두대간문화휴양관+통나무집+온열테라피+백두대간목재체험관,충청북도 단양군 단성면 대잠2길 15,충청북도 단양군청(단양관광공사),043-422-7839,,36.91922142,128.3123127,2023-08-01,6430000,충청북도
소백산자연휴양림,충청북도,공유림,1899046,236,무료,Y,숲속의집+산림문화휴양관+정감록명당체험마을(숙소)+다목적구장+단양승마장(예약)+명당체험관+북카페+야외바비큐장+전시실+세미나실,충청북도 단양군 영춘면 하리방터길 180,충청북도 단양군청(단양관광공사),043-423-3117,,37.06069296,128.4673084,2023-08-01,6430000,충청북도
조령산자연휴양림,충청북도,공유림,7662350,246,무료,Y,백두대간생태교육장+매점+물놀이장+숲속의집+복합휴양관+무궁화관,충청북도 괴산군 연풍면 새재로 1795,충청북도 산림환경연구소,043-833-7994,,36.81234006,128.0462438,2023-08-01,6430000,충청북도
구름산산림욕장,경기도,국유림,3000000,300,무료,N,피크닉장+황토길+세족장+야외소공연장+놀이시설,경기도 광명시 하안동 산141-7,경기도 광명시청,02-2680-2377,http://www.gm.go.kr/pt/user/bbs/BD_selectBbs.do?q_bbsCode=2298&q_bbscttSn=20190218155830749,37.454013,126.876365,2023-08-28,3900000,경기도 광명시
신안자연휴양관,전라남도,국유림,131205,,무료,Y,"산림휴양관, 관리동, 산책로, 캠핑장 등",전라남도 신안군 자은면 자은서부2길 508-77,전라남도 신안군청,061-240-3265,https://tour.shinan.go.kr/home/tour/theme_tour/theme_tour_17/theme_tour_17_04/page.wscms,34.87971569,125.9954724,2023-11-09,5010000,전라남도 신안군
데미샘자연휴양림,전라북도,공유림,200000,131,무료,Y,휴양관+숲속의집+숲문화마당+명상의숲 등,전라북도 진안군 백운면 데미샘 1길 172,전라북도 산림환경연구소,063-290-6992,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030074,35.656988,127.461036,2023-10-30,6450000,전라북도
고산자연휴양림,전라북도,공유림,6920000,3000,일반2000+단체1500,Y,숲속의집+돔하우스+가족휴양관+웰빙휴양관+산림휴양관,전라북도 완주군 고산면 고산휴양림로 246,전라북도 완주군청 산림녹지과,063-263-8680,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030025,35.96224205,127.2328719,2023-12-26,4720000,전라북도 완주군
여수봉황산자연휴양림,전라남도,공유림,2290000,230,0,Y,숲속의집+야영장 등,전라남도 여수시 돌산읍 대복길160,전라남도 여수시청,061-643-9180,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030097,34.61470237,127.7617999,2024-03-08,4810000,전라남도 여수시
데미샘자연휴양림,전북특별자치도,공유림,200,107,무료,Y,휴양관+숲속의집+숲문화마당+명상의숲 등,전북특별자치도 진안군 백운면 데미샘 1길 172,전북특별자치도 산림환경연구소,063-290-6993,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030074,35.6569938,127.4610402,2024-01-22,4731000,전북특별자치도 진안군
운장산자연휴양림,전북특별자치도,국유림,1958,600,일반인(개인 1000+단체 800)+청소년(개인 600+단체 500)+어린이(개인 300+단체 200),Y,숲속의집+연립동+산림문화휴양관+숲속수련관,전북특별자치도 진안군 정천면 휴양림길 77,무주국유림관리소,063-432-1193,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=0194,35.89924607,127.4211096,2024-01-22,4731000,전북특별자치도 진안군
광치자연휴양림,강원특별자치도,공유림,51000,160,3000원,Y,"숲속의집, 휴양관, 숲속카페,무장애나눔길",강원특별자치도 양구군 국토정중앙면 광치령로 1794번길 265,강원특별자치도 양구군청,033-482-3115,http://www.foresttrip.go.kr,38.14199686,128.0710755,2024-03-06,4321000,강원특별자치도 양구군
동두천자연휴양림,경기도,공유림,700000,1000,성인2000+청소년군인1500+아동1000,Y,숲속의집+야외데크+치유의숲+유아숲체험원,경기도 동두천시 탑동가산로 1,경기도 동두천시청 관광휴양과,031-860-3256,https://blog.naver.com/ddcforest,37.88988548,127.1371472,2023-12-18,3920000,경기도 동두천시
금강자연휴양림,충청남도,공유림,1840000,226,1500,Y,숲속의 집+휴양관+야영장,세종특별자치시 금남면 산림박물관길110,산림자원연구소,041-635-7400,keumkang.chungnam.go.kr,36.43769938,127.2327429,2023-12-15,6440000,충청남도
횡성자연휴양림,강원도,사유림,498263,300,숙박시설 이용객만 입장 가능(별도입장료 : 없음),Y,"숲속의집, 산림문화휴양관",강원도 횡성군 갑천면 정포로 430번길 113,사유휴양림(대표 : 이호준),033-343-3392,http://www.hsrf.co.kr,37.53904383,128.1118525,2022-06-22,4260000,강원도 횡성군
반딧불 자연휴양림,전라북도,공유림,31110,300,무료,Y,통나무집+목교+평상+평의자,전라북도 무주군 설천면 무설로 1324,전라북도 무주군청 시설사업소,063-320-5666,https://tour.muju.go.kr/bandiland/contents.do?key=399,36.0124904721,127.7611880914,2023-03-07,4740000,전라북도 무주군
강화군 석모도자연휴양림,인천광역시,공유림,1283632,208,개인일반1000원+청소년군인800원+어린이500원+단체일반 800원+청소년군인600원+어린이300원,Y,숲속의 집+산림문화휴양관+족구장 등,인천광역시 강화군 삼산면 삼산서로 39-75,인천광역시 강화군청 산림공원과,032-932-1100,forest.ganghwa.go.kr,37.69963904,126.3154373,2023-03-17,3570000,인천광역시 강화군
강화군 티앤림 자연휴양림,인천광역시,사유림,320941,40,현재무료+이용료+집라인38000원+어드벤쳐22000원+패키지50000원,Y,숲속의집+집라인+어드벤쳐,인천광역시 강화군 불은면 중앙로 546-34,기전산업,032-937-7481,www.tianlim.co.kr,37.71482742,126.453839,2023-03-17,3570000,인천광역시 강화군
태백고원자연휴양림,강원특별자치도,국유림,1404000,110,2000원,Y,산림문화휴양관+숲속의 집+야영장,강원특별자치도 태백시 머리골길153,태백시농업기술센터 산림축산과,033-550-2849,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030022,37.12357654,129.0603832,2023-08-31,4221000,강원특별자치도 태백시
불갑사 관광휴양단지,전라남도,사유림,106300,200,무료,Y,관광지+힐링컨벤션센터,전라남도 영광군 불갑면 자비길 51-38,전라남도 영광군청,061-353-4476,glory-healing.com,35.202988,126.5367799663,2023-08-18,4970000,전라남도 영광군
구수곡자연휴양림,경상북도,공유림,2000000,950,유료,Y,숲속의 집,경상북도 울진군 북면 십이령로 2721,경상북도 울진군청,054-783-2241,https://www.foresttrip.go.kr,37.06212162,129.2929279,2023-07-31,5250000,경상북도 울진군
평창자연휴양림,강원특별자치도,공유림,540000,80,일반2000원+단체1500원,Y,숙박동+세미나실+운동장+산책로,강원특별자치도 평창군 봉평면 팔송로 285,강원특별자치도 평창군청 산림과,033-339-9028,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030003,37.609548,128.303521,2023-07-31,4281000,강원특별자치도 평창군
와룡자연휴양림,전라북도,공유림,576219,1200,무료,Y,삼림욕장+숙박시설+야영데크+야영장+산행코스+물썰매장+수영장+치유의숲,전라북도 장수군 천천면 비룡로 632,전라북도 장수군청 산림과,063-350-2477,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030084,35.67621885,127.4772179,2023-08-08,4750000,전라북도 장수군
방화동가족휴가촌,전라북도,공유림,250000,700,무료,Y,오토캠핑장+야영장+모험놀이장+가족놀이장+체육광장,전라북도 장수군 번암면 방화동로 778,전라북도 장수군청 산림과,063-350-2474,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030082,35.59064044,127.5268764,2023-08-08,4750000,전라북도 장수군
방화동자연휴양림,전라북도,공유림,1016000,200,무료,Y,숲속의집+산림문화휴양관+수련관,전라북도 장수군 번암면 방화동로 778,전라북도 장수군청 산림과,063-350-2474,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030082,35.59064044,127.5268764,2023-08-08,4750000,전라북도 장수군
운주산승마자연휴양림,경상북도,공유림,733932,298,무료,Y,숲속의집+야영데크+다목적구장+세미나실,경상북도 영천시 임고면 승마휴양림길 105,경상북도 영천시청,054-330-6287,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030081,36.03510258,128.996734,2023-11-14,5100000,경상북도 영천시
보현산자연휴양림,경상북도,공유림,51954,200,무료,Y,숲속의집+산림문화휴양관+야영데크+세미나실+다목적구장+하늘광장+출렁다리+어린이놀이터+우주광장,경상북도 영천시 화북면 배나무정길 334,경상북도 영천시청,054-336-6618,https://bhforest.foresttrip.go.kr,36.14210706,128.9781098,2023-11-14,5100000,경상북도 영천시
금산산림문화타운,충청남도,공유림,316,3000,없음,Y,숲속의집+생태체험학습장+야영장+캠핑장 등,충청남도 금산군 남이면 느티골길 200,충청남도 금산군청,041-753-5706,https://gsforesttown.foresttrip.go.kr,36.06776064,127.3690934,2023-11-13,4550000,충청남도 금산군
진산자연휴양림,충청남도,사유림,137,350,없음,Y,숲속의집+산책로+캠핑장+글램핑장+짚핑,충청남도 금산군 진산면 대둔산로 6,진산자연휴양림,041-753-4242,www.ijinsan.co.kr,36.12303243,127.3441498,2023-11-13,4550000,충청남도 금산군
서대산약용자연휴양림,충청남도,사유림,29,500,없음,Y,산야초체험장+산약초음식점+숲속의집,충청남도 금산군 추부면 홍골1길 132,서대산약용자연휴양림,041-753-2222,www.sedaesan.modoo.at,36.22268671,127.5258197,2023-11-13,4550000,충청남도 금산군
심천치유자연휴양림,충청남도,사유림,700,200,없음,Y,숲속의집+야영장+캠핑장 등,충청남도 금산군 남일면 신동길 239,심천치유자연휴양림,041-752-8300,www.simcheon.kr,35.99504733,127.4849511,2023-11-13,4550000,충청남도 금산군
수도산 자연휴양림,경상북도,공유림,590445,206,0,Y,숲속의집+힐하우스+숲속휴양관+숲속수련관,경상북도 김천시 대덕면 증산로 326-71,경상북도 김천시청,054-435-5128,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030030,35.8918024,127.9838463,2023-11-10,5060000,경상북도 김천시
국립방장산자연휴양림,전라남도,국유림,3730000,1000,없음,N,치유의숲+치유센터+전망대 등,전라남도 장성군 서삼면 추암로 716,국립장성숲체원,061-393-1777,https://sooperang.or.kr/indvz/main.do?hmpgId=FA00002,35.3688012,126.7314612,2023-11-12,4980000,전라남도 장성군
방장산자연휴양림,전라남도,국유림,70000,500,일반 1000원+단체 800원,Y,숲속의 집+산림문화휴양관+세미나실+숲속공예마을(체험) 등,전라남도 장성군 북이면 방장로 353,국립자연휴양림관리소,061-394-5523,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=0181,35.44405218,126.7514053,2023-11-12,4980000,전라남도 장성군
봉수산자연휴양림,충청남도,공유림,948780,171,무료,Y,숲속의집+산림문화휴양관,충청남도 예산군 대흥면 임존성길 153,충청남도 예산군청,041-339-8936,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030028,36.59844872,126.7808937,2023-12-18,4610000,충청남도 예산군
공주산림휴양마을,충청남도,공유림,518270,250,무료,Y,숲속의집+휴양관+야영장+목재문화체험장,충청남도 공주시 수원지공원길 222,충청남도 공주시청,041-855-0855,http://jumisan.gongju.go.kr,36.42442578,127.1193201,2022-11-22,4500000,충청남도 공주시
두루웰자연휴양림,강원도,공유림,1864000,100,"개인(일반1000, 청소년600, 어린이300)단체(일반 700, 청소년400, 어린이200)",Y,"숲속의집, 트리하우스, 캠핑장",강원도 철원군 갈말읍 지경1길 69,강원도 철원군청 녹색성장과,033-450-5198,www.foresttrip.go.kr,38.227936,127.353297,2021-10-21,4301000,강원특별자치도 철원군
옥화자연휴양림,충청북도,공유림,1364921,244,어른1000원+청소년500원+어린이300원+군인500원+지역주민500원,Y,숲속의집+산림휴양관+숲속놀이터+물놀이장+족구장+오토캠핑장+다목적실,충청북도 청주시 상당구 미원면 운암옥화길 140,충청북도 청주시청(청주시시설관리공단),043-270-7381,,36.59895012,127.6943716,2023-08-01,6430000,충청북도
문성자연휴양림,충청북도,공유림,566569,180,무료,Y,숲속의집+야영장+단체숙소+등산로+족구장,충청북도 충주시 노은면 우성1길 191,충청북도 충주시청(충주시시설관리공단),043-850-7911,,37.02832602,127.7525217,2023-08-01,6430000,충청북도
봉황자연휴양림,충청북도,공유림,1720000,176,무료,Y,숲속의집+야영장+단체숙소+족구장+산책로,충청북도 충주시 중앙탑면 수룡봉황길 540,충청북도 충주시청(충주시시설관리공단),043-850-7920,,37.05652228,127.8297465,2023-08-01,6430000,충청북도
계명산자연휴양림,충청북도,공유림,3630791,149,무료,Y,숲속의집+가족호텔+조리실+힐링푸드+세미나실,충청북도 충주시 충주호수로 1170,충청북도 충주시청(충주시시설관리공단),043-850-7930,,36.97931793,127.9950865,2023-08-01,6430000,충청북도
박달재자연휴양림,충청북도,공유림,1700000,136,무료,Y,숲속의집+복합산막+야영장+족구장+산책로+등산로,충청북도 제천시 백운면 금봉로 223,충청북도 제천시청,043-652-0910,,37.14806356,128.045293,2023-08-01,6430000,충청북도
옥전자연휴양림,충청북도,공유림,1090000,42,무료,Y,숲속의집+농산물판매장 등,충청북도 제천시 봉양읍 옥전길 195,충청북도 제천시청,043-641-6893,,37.174689,128.089444,2023-08-01,6430000,충청북도
충북알프스자연휴양림,충청북도,공유림,902058,287,무료,Y,숲속의집+산림문화휴양관+수영장+세미나실+식당+어린이놀이터,충청북도 보은군 산외면 속리산로 1880,충청북도 보은군청,043-543-1472,,36.57319259,127.7858718,2023-08-01,6430000,충청북도
속리산숲체험휴양마을,충청북도,공유림,1100000,268,무료,Y,숲속의집+통나무집+도서관+세미나실+회의실+식당+식당+숲속수영장+찜질방+숲속공연장+산나물체험장+산책로,충청북도 보은군 속리산면 속리산로 596,충청북도 보은군청,043-540-3220,,36.49245548,127.7924743,2023-08-01,6430000,충청북도
장령산자연휴양림,충청북도,공유림,2008003,437,무료,Y,숲속의집+산림문화휴양관+숲속수련장+대회의실+다목적실+강의실+열치유실+물치유실+야영장+단체식당+전용테라스+야외음악당,충청북도 옥천군 군서면 장령산로 519,충청북도 옥천군청,043-730-3491,,36.24486737,127.5547497,2023-08-01,6430000,충청북도
민주지산자연휴양림,충청북도,공유림,1800000,352,어른1000원+청소년500원+군인800원+어린이300원,N,숲속의집(23년 리모델링으로 숙소예약 중지)+연립동+휴양관+야영데크+세미나실+식당,충청북도 영동군 용화면 휴양림길 60,충청북도 영동군청,043-740-3437,,36.05313182,127.8243888,2023-08-01,6430000,충청북도
좌구산자연휴양림,충청북도,공유림,730000,251,무료,Y,숲속의집+황토집+별무리하우스+병영하우스+율리휴양촌+오토캠핑장+족구장,충청북도 증평군 증평읍 솟점말길 107,충청북도 증평군청,043-835-4581,,36.70556821,127.6511216,2023-08-01,6430000,충청북도
횡성자연휴양림,강원도,사유림,498263,300,숙박시설 이용객만 입장 가능(별도입장료 : 없음),Y,"숲속의집, 산림문화휴양관",강원도 횡성군 갑천면 정포로 430번길 113,사유휴양림(대표 : 이호준),033-343-3392,http://www.hsrf.co.kr,37.53904383,128.1118525,2022-06-22,4261000,강원특별자치도 횡성군
주천강자연휴양림,강원도,사유림,2296100,400,숙박시설 이용객만 입장 가능(별도입장료 : 없음),Y,"숲속마을, 산골마을, 강변마을, 숲속학교, 황토별장",강원도 횡성군 둔내면 강변로 영랑6길 115,사유휴양림(대표 : 김문기),033-345-7575,http://jucheon.com/,37.4606019,128.2034233,2022-06-22,4261000,강원특별자치도 횡성군
숲체원,강원도,국유림,159710,300,별도 입장료 없음,Y,"탐방로, 숙박동, 강의실",강원도 횡성군 둔내면 청태산로 777,산림청,033-340-6300,https://hoengseong.fowi.or.kr/,37.53722046,128.2866886,2022-06-22,4261000,강원특별자치도 횡성군
청태산휴양림,강원도,국유림,159520,1500,일반 : 1000원+청소년 : 600원+어린이 : 300원,Y,"제1산림문화휴양관, 제2산림문화휴양관, 숲속의집, 숲속수련장(중형, 소형), 대형숲속수영장(회의실), 야영장, 인도네시아 전통 전시관, 숲생태체험실, BIY목공교실",강원도 횡성군 둔내면 청태산로 610,산림청,033-343-9707,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=0106,37.52907993,128.2968658,2022-06-22,4261000,강원특별자치도 횡성군
